Titre,Notes,Nombre des évaluations,Prix,Rehercher_url
"Roimxck Disque Dur Externe 2To, USB 3.1-2.5 Pouces, Portable étanche et Anti-Choc pour PC, Mac, TV, MacBook, Ordinateur Portable, Bureau, Windows (Noir)",,,"35,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Seagate Game Drive pour PS4/PS5, 2 to, Disque Dur externe, 2.5"", USB 3.0, sous Licence Officielle, éclairage LED Bleu, INCL. 2 semaines Playstation+ (STLV2000202)","4,5 sur 5 étoiles",28 051,"101,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"UnionSine Disque Dur Externe Portable 1To Ultra-Mince 2.5"" USB 3.0, SATA, Stockage HDD pour PC, Mac, Ordinateur de Bureau, Ordinateur Portable, Wii U, Xbox, PS4 (Noir) HD2510","4,5 sur 5 étoiles",37 744,"54,69 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"LaCie Rugged USB-C 1To, Disque Dur Externe Portable HDD, Résistant aux chutes, chocs, la poussière, la pluie, pour Mac & PC, avec USB-C sans câble USB-A, services Rescue valables 3 ans (STFR1000800)","4,6 sur 5 étoiles",26 908,"98,09 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Toshiba Canvio Partner 1To Portable 2.5"" HDD externe, USB 3.2 Gen 1, compatible Mac et Windows, USB Powered","4,6 sur 5 étoiles",17 032,"59,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"UnionSine Disque Dur Externe Portable 1To Ultra-Mince 2.5"" USB 3.0, SATA, Stockage HDD pour PC, Mac, Ordinateur de Bureau, Ordinateur Portable, Wii U, Xbox, PS4 (Noir) HD2510","4,5 sur 5 étoiles",37 744,"54,69 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Toshiba TOS HD EST 2.5 USB3.0 1TB HDTB510EK3AA, Disque dur mécanique","4,6 sur 5 étoiles",703,"55,45 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Crucial X6 1To Portable SSD - Jusqu’à 800Mo/s - PC et Mac - USB 3.2 USB-C externe SSD - CT1000X6SSD9, Disque SSD","4,5 sur 5 étoiles",30 173,"74,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"WD 1 To Elements disque dur portable externe, USB 3.0, Plug-and- play, formaté pour Windows, Noir","4,6 sur 5 étoiles",314 541,"61,83 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Seagate Portable Amazon Special Edition, 1 To, USB 3,0 Portable Disque dur externe pour Mac, PC, Services Rescue valables 2 ans (STGX1000400)","4,5 sur 5 étoiles",256 355,"61,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
